Crop Name,Soil Type,pH Level,Climate Condition,Recommended Fertilizer
Lentils,Chalky,5.0,Wet,"Urea, DAP"
Bitter Gourd,Loamy,5.3,Humid,"Compost, Urea"
Coconut,Peaty,8.2,Wet,"Potash, Gypsum"
Cashew,Loamy,4.6,Tropical,"NPK 20:20:20, Ammonium Sulfate"
Rice,Loamy,5.0,Humid,"Bio-Fertilizer, Bone Meal"
Pigeon Pea,Clayey,5.5,Moderate,"NPK 20:20:20, Urea"
Potato,Peaty,5.0,Temperate,"Urea, Bio-Fertilizer"
Lemon,Peaty,5.3,Arid,"Potash, Bio-Fertilizer"
Papaya,Loamy,5.1,Subtropical,"NPK 20:20:20, DAP"
Guava,Sandy,7.4,Moderate,"Compost, DAP"
Banana,Saline,4.8,Tropical,"Phosphorus-based Fertilizer, Cow Manure"
Sorghum,Sandy,4.8,Wet,"Cow Manure, MOP"
Spinach,Chalky,7.7,Moderate,"Organic Manure, Bio-Fertilizer"
Rice,Peaty,8.0,Moderate,"MOP, Potash"
Papaya,Loamy,7.3,Warm,"Bone Meal, MOP"
Mango,Peaty,4.9,Tropical,"MOP, Compost"
Banana,Silty,7.1,Dry,"SSP, Bone Meal"
Turmeric,Saline,6.8,Subtropical,"SSP, Compost"
Cucumber,Chalky,5.7,Humid,"Compost, NPK 20:20:20"
Potato,Chalky,8.3,Cool,"Ammonium Sulfate, Bone Meal"
Pineapple,Chalky,7.5,Subtropical,"Organic Manure, Ammonium Sulfate"
Coffee,Clayey,7.1,Subtropical,"Ammonium Sulfate, Potash"
Strawberry,Silty,8.0,Subtropical,"MOP, Potash"
Pineapple,Loamy,6.2,Temperate,"Potash, SSP"
Sunflower,Loamy,8.2,Warm,"Cow Manure, Bio-Fertilizer"
Peas,Loamy,5.0,Arid,"Gypsum, Urea"
Tomato,Silty,8.3,Subtropical,"Phosphorus-based Fertilizer, Ammonium Sulfate"
Rubber,Silty,7.1,Tropical,"SSP, Cow Manure"
Lychee,Chalky,5.7,Temperate,"Gypsum, Potash"
Oats,Chalky,4.6,Subtropical,"Cow Manure, NPK 20:20:20"
Soybean,Chalky,7.9,Wet,"SSP, Urea"
Ragi,Clayey,6.3,Humid,"Potash, NPK 20:20:20"
Bottle Gourd,Peaty,5.4,Dry,"SSP, Bone Meal"
Papaya,Loamy,5.0,Moderate,"Bio-Fertilizer, SSP"
Sugarcane,Silty,7.5,Humid,"Gypsum, Potash"
Cucumber,Chalky,4.9,Warm,"Ammonium Sulfate, Organic Manure"
Cashew,Chalky,7.5,Subtropical,"Urea, Bio-Fertilizer"
Muskmelon,Sandy,8.5,Cool,"Phosphorus-based Fertilizer, Urea"
Pomegranate,Silty,7.4,Subtropical,"Potash, Urea"
Cabbage,Chalky,5.6,Arid,"MOP, Bio-Fertilizer"
Ginger,Clayey,4.7,Temperate,"Bone Meal, Potash"
Watermelon,Loamy,5.5,Dry,"Bio-Fertilizer, SSP"
Banana,Saline,4.9,Subtropical,"Gypsum, Bio-Fertilizer"
Turmeric,Silty,5.7,Tropical,"Urea, Phosphorus-based Fertilizer"
Guava,Clayey,5.9,Dry,"Gypsum, Phosphorus-based Fertilizer"
Black Gram,Silty,7.4,Dry,"Ammonium Sulfate, Cow Manure"
Rubber,Sandy,8.5,Cool,"DAP, Gypsum"
Barley,Clayey,5.5,Wet,"NPK 20:20:20, SSP"
Groundnut,Sandy,6.1,Warm,"SSP, NPK 20:20:20"
Bottle Gourd,Loamy,7.1,Cool,"Ammonium Sulfate, Phosphorus-based Fertilizer"
Pomegranate,Peaty,7.6,Tropical,"Urea, Phosphorus-based Fertilizer"
Pumpkin,Sandy,7.4,Temperate,"Bio-Fertilizer, Ammonium Sulfate"
Onion,Chalky,7.7,Subtropical,"DAP, Cow Manure"
Garlic,Silty,6.1,Moderate,"Phosphorus-based Fertilizer, SSP"
Apple,Chalky,7.9,Moderate,"Cow Manure, Organic Manure"
Cashew,Sandy,7.6,Dry,"Ammonium Sulfate, Phosphorus-based Fertilizer"
Soybean,Silty,6.3,Wet,"Compost, Bone Meal"
Strawberry,Sandy,5.0,Tropical,"SSP, Bio-Fertilizer"
Lemon,Clayey,5.7,Subtropical,"Cow Manure, Organic Manure"
Sorghum,Chalky,6.9,Moderate,"MOP, Urea"
Bottle Gourd,Chalky,7.5,Cool,"Bone Meal, Urea"
Maize,Clayey,5.0,Warm,"Bio-Fertilizer, Bone Meal"
Onion,Clayey,7.3,Warm,"Bio-Fertilizer, Potash"
Millet,Chalky,7.9,Warm,"Bio-Fertilizer, Potash"
Barley,Chalky,5.4,Wet,"Ammonium Sulfate, Bio-Fertilizer"
Wheat,Clayey,7.1,Cool,"Ammonium Sulfate, Gypsum"
Bitter Gourd,Clayey,7.3,Wet,"Cow Manure, Gypsum"
Pigeon Pea,Chalky,6.0,Moderate,"NPK 20:20:20, Bone Meal"
Pineapple,Clayey,4.8,Tropical,"Bio-Fertilizer, Urea"
Pulses,Silty,5.4,Wet,"Organic Manure, Bone Meal"
Bottle Gourd,Loamy,8.5,Subtropical,"Ammonium Sulfate, Gypsum"
Lemon,Sandy,6.8,Moderate,"Compost, SSP"
Sugarcane,Peaty,8.2,Cool,"Urea, SSP"
Papaya,Chalky,5.5,Cool,"Bone Meal, Organic Manure"
Strawberry,Sandy,6.3,Warm,"Urea, Potash"
Lychee,Loamy,6.4,Temperate,"Gypsum, DAP"
Bottle Gourd,Clayey,6.7,Cool,"Gypsum, Organic Manure"
Pineapple,Peaty,5.3,Moderate,"Ammonium Sulfate, Compost"
Millet,Silty,6.7,Tropical,"MOP, Compost"
Tea,Saline,5.6,Wet,"Bone Meal, Potash"
Barley,Peaty,7.6,Arid,"Cow Manure, Bone Meal"
Soybean,Loamy,4.8,Moderate,"Cow Manure, MOP"
Cauliflower,Peaty,7.0,Arid,"MOP, DAP"
Chili,Clayey,7.3,Humid,"DAP, Bio-Fertilizer"
Garlic,Sandy,5.1,Cool,"Cow Manure, SSP"
Wheat,Sandy,7.9,Dry,"Bio-Fertilizer, Gypsum"
Rice,Saline,4.7,Cool,"Organic Manure, MOP"
Millet,Loamy,5.2,Warm,"NPK 20:20:20, Bio-Fertilizer"
Jute,Silty,5.7,Tropical,"MOP, Ammonium Sulfate"
Lychee,Loamy,8.0,Humid,"MOP, NPK 20:20:20"
Banana,Peaty,6.3,Dry,"Gypsum, Ammonium Sulfate"
Sunflower,Chalky,4.9,Cool,"Organic Manure, Gypsum"
Cauliflower,Chalky,7.7,Wet,"Bone Meal, DAP"
Chickpeas,Saline,7.6,Humid,"DAP, Organic Manure"
Orange,Peaty,7.2,Subtropical,"Potash, Ammonium Sulfate"
Wheat,Loamy,6.7,Wet,"SSP, Urea"
Tomato,Saline,5.2,Wet,"Potash, Ammonium Sulfate"
Bottle Gourd,Chalky,5.0,Cool,"Potash, NPK 20:20:20"
Tea,Silty,7.6,Subtropical,"Bio-Fertilizer, Compost"
Coconut,Sandy,7.8,Humid,"Organic Manure, Compost"
Garlic,Silty,6.9,Tropical,"MOP, Organic Manure"
Pineapple,Loamy,8.1,Dry,"Compost, SSP"
Onion,Loamy,5.0,Arid,"SSP, Gypsum"
Sugarcane,Sandy,8.1,Wet,"MOP, Bone Meal"
Bitter Gourd,Chalky,5.0,Humid,"NPK 20:20:20, Urea"
Cashew,Peaty,5.5,Subtropical,"SSP, Phosphorus-based Fertilizer"
Potato,Sandy,6.4,Wet,"Phosphorus-based Fertilizer, SSP"
Tea,Loamy,6.3,Tropical,"SSP, Bio-Fertilizer"
Coffee,Chalky,7.0,Humid,"SSP, Phosphorus-based Fertilizer"
Pomegranate,Clayey,8.4,Tropical,"MOP, Potash"
Garlic,Loamy,6.6,Tropical,"Bone Meal, Phosphorus-based Fertilizer"
Maize,Peaty,7.2,Humid,"SSP, Urea"
Sorghum,Saline,5.9,Humid,"Potash, Gypsum"
Brinjal,Silty,6.5,Dry,"DAP, Ammonium Sulfate"
Cucumber,Saline,8.4,Cool,"Ammonium Sulfate, NPK 20:20:20"
Spinach,Loamy,6.7,Subtropical,"SSP, Cow Manure"
Cotton,Saline,6.0,Wet,"Potash, MOP"
Watermelon,Silty,7.9,Cool,"MOP, Bio-Fertilizer"
Cashew,Silty,6.6,Moderate,"Gypsum, Organic Manure"
Potato,Clayey,4.6,Dry,"SSP, Phosphorus-based Fertilizer"
Garlic,Silty,5.7,Warm,"Cow Manure, DAP"
Sugarcane,Silty,6.8,Tropical,"Ammonium Sulfate, SSP"
Black Gram,Clayey,6.0,Arid,"NPK 20:20:20, Bio-Fertilizer"
Papaya,Sandy,8.2,Humid,"Potash, Phosphorus-based Fertilizer"
Strawberry,Loamy,8.1,Tropical,"DAP, Gypsum"
Millet,Silty,7.6,Moderate,"NPK 20:20:20, Cow Manure"
Coffee,Silty,5.5,Subtropical,"SSP, Compost"
Onion,Chalky,8.0,Cool,"NPK 20:20:20, Potash"
Sugarcane,Silty,5.8,Cool,"MOP, Ammonium Sulfate"
Tomato,Saline,5.3,Humid,"DAP, Bone Meal"
Jute,Sandy,8.4,Wet,"Bone Meal, Phosphorus-based Fertilizer"
Apple,Saline,7.3,Tropical,"Bone Meal, Phosphorus-based Fertilizer"
Cauliflower,Loamy,8.1,Tropical,"Bio-Fertilizer, Gypsum"
Bajra,Silty,6.2,Subtropical,"Ammonium Sulfate, Phosphorus-based Fertilizer"
Lemon,Clayey,6.0,Moderate,"Phosphorus-based Fertilizer, SSP"
Orange,Silty,7.3,Cool,"NPK 20:20:20, Potash"
Spinach,Peaty,6.1,Moderate,"NPK 20:20:20, Bio-Fertilizer"
Sugarcane,Chalky,5.9,Cool,"Bio-Fertilizer, Compost"
Sorghum,Saline,7.2,Temperate,"Organic Manure, Ammonium Sulfate"
Cotton,Saline,6.3,Arid,"Bio-Fertilizer, NPK 20:20:20"
Lychee,Saline,8.3,Arid,"Potash, Phosphorus-based Fertilizer"
Carrot,Clayey,8.3,Moderate,"Ammonium Sulfate, NPK 20:20:20"
Groundnut,Peaty,8.1,Temperate,"Bio-Fertilizer, Cow Manure"
Lemon,Silty,8.0,Dry,"Ammonium Sulfate, Bone Meal"
Spinach,Sandy,8.4,Subtropical,"Ammonium Sulfate, Gypsum"
Banana,Sandy,6.7,Dry,"Ammonium Sulfate, Organic Manure"
Ginger,Saline,8.0,Subtropical,"Organic Manure, Gypsum"
Cabbage,Loamy,5.1,Moderate,"SSP, Organic Manure"
Lentils,Clayey,4.7,Dry,"Cow Manure, NPK 20:20:20"
Bajra,Loamy,4.9,Tropical,"Compost, Phosphorus-based Fertilizer"
Oats,Silty,6.6,Dry,"Potash, Compost"
Coconut,Chalky,8.1,Humid,"Ammonium Sulfate, Organic Manure"
Sorghum,Loamy,6.1,Dry,"Organic Manure, SSP"
Cauliflower,Peaty,5.4,Moderate,"Gypsum, Cow Manure"
Tea,Chalky,6.0,Warm,"Potash, Urea"
Bajra,Peaty,5.1,Humid,"Urea, MOP"
Ragi,Clayey,7.9,Temperate,"Phosphorus-based Fertilizer, SSP"
Bajra,Silty,7.0,Subtropical,"MOP, Urea"
Sunflower,Loamy,7.1,Humid,"MOP, SSP"
Bitter Gourd,Loamy,6.6,Moderate,"Bio-Fertilizer, Gypsum"
Spinach,Saline,7.5,Moderate,"Cow Manure, Compost"
Lemon,Sandy,6.9,Humid,"Organic Manure, NPK 20:20:20"
Groundnut,Saline,4.8,Tropical,"Ammonium Sulfate, DAP"
Pumpkin,Silty,6.5,Arid,"MOP, Bone Meal"
Chickpeas,Saline,8.4,Humid,"Organic Manure, Phosphorus-based Fertilizer"
Papaya,Sandy,8.4,Moderate,"MOP, Phosphorus-based Fertilizer"
Guava,Sandy,7.3,Moderate,"SSP, Compost"
Carrot,Clayey,6.1,Tropical,"Compost, Gypsum"
Lemon,Sandy,6.1,Dry,"Ammonium Sulfate, NPK 20:20:20"
Pomegranate,Chalky,8.4,Tropical,"DAP, Organic Manure"
Pomegranate,Saline,5.4,Temperate,"Urea, DAP"
Onion,Clayey,7.5,Tropical,"Compost, Potash"
Mango,Peaty,8.2,Subtropical,"Bio-Fertilizer, SSP"
Ginger,Saline,7.6,Subtropical,"Cow Manure, NPK 20:20:20"
Sorghum,Silty,8.1,Warm,"Potash, Cow Manure"
Cauliflower,Loamy,7.3,Warm,"SSP, DAP"
Onion,Clayey,7.9,Dry,"NPK 20:20:20, MOP"
Pumpkin,Chalky,7.3,Wet,"Cow Manure, DAP"
Spinach,Clayey,7.7,Moderate,"Bone Meal, Gypsum"
Pineapple,Clayey,5.8,Arid,"Cow Manure, Gypsum"
Coffee,Silty,7.9,Subtropical,"Potash, Urea"
Wheat,Saline,5.2,Temperate,"Bone Meal, Ammonium Sulfate"
Ginger,Silty,5.2,Dry,"Ammonium Sulfate, Bone Meal"
Bitter Gourd,Loamy,7.3,Moderate,"NPK 20:20:20, DAP"
Sugarcane,Sandy,6.8,Humid,"MOP, Bio-Fertilizer"
Groundnut,Silty,7.4,Temperate,"DAP, Cow Manure"
Grapes,Loamy,7.3,Tropical,"Bio-Fertilizer, DAP"
Tobacco,Chalky,6.3,Arid,"Compost, DAP"
Papaya,Clayey,8.5,Cool,"Urea, Cow Manure"
Potato,Peaty,5.9,Tropical,"Potash, Cow Manure"
Lychee,Peaty,8.0,Humid,"Potash, SSP"
Tobacco,Clayey,6.7,Wet,"Potash, Bio-Fertilizer"
Barley,Saline,6.0,Wet,"Potash, DAP"
Banana,Clayey,8.4,Temperate,"MOP, Potash"
Lemon,Silty,8.4,Subtropical,"DAP, Gypsum"
Cauliflower,Saline,6.3,Warm,"MOP, Bio-Fertilizer"
Lentils,Silty,4.9,Temperate,"Compost, Cow Manure"
Cucumber,Peaty,6.9,Dry,"Organic Manure, Potash"
Strawberry,Clayey,7.8,Cool,"Bone Meal, Phosphorus-based Fertilizer"
Bitter Gourd,Clayey,5.6,Wet,"Gypsum, Compost"
Carrot,Sandy,7.7,Humid,"Phosphorus-based Fertilizer, NPK 20:20:20"
Orange,Sandy,8.4,Warm,"MOP, Cow Manure"
Soybean,Peaty,5.6,Dry,"Ammonium Sulfate, Cow Manure"
Cabbage,Sandy,4.8,Warm,"Gypsum, Bio-Fertilizer"
Green Gram,Loamy,8.1,Moderate,"Ammonium Sulfate, Bone Meal"
Oats,Loamy,4.5,Subtropical,"Compost, Ammonium Sulfate"
Pomegranate,Clayey,4.9,Dry,"Compost, MOP"
Coffee,Peaty,5.6,Arid,"Potash, Bone Meal"
Grapes,Clayey,7.1,Cool,"Bio-Fertilizer, Organic Manure"
Apple,Loamy,6.1,Cool,"DAP, Potash"
Mustard,Sandy,8.3,Warm,"Organic Manure, Urea"
Millet,Silty,7.1,Subtropical,"NPK 20:20:20, Bone Meal"
Groundnut,Saline,5.2,Warm,"Bio-Fertilizer, Cow Manure"
Coffee,Loamy,7.9,Cool,"Urea, Compost"
Green Gram,Chalky,6.5,Warm,"DAP, Bone Meal"
Pumpkin,Clayey,6.7,Humid,"Compost, Bio-Fertilizer"
Papaya,Clayey,4.8,Subtropical,"MOP, Ammonium Sulfate"
Lemon,Silty,7.8,Warm,"Phosphorus-based Fertilizer, Ammonium Sulfate"
Cucumber,Loamy,8.5,Humid,"Organic Manure, Compost"
Watermelon,Loamy,5.8,Temperate,"SSP, Phosphorus-based Fertilizer"
Grapes,Sandy,5.8,Cool,"DAP, Cow Manure"
Coffee,Loamy,5.8,Arid,"Urea, MOP"
Grapes,Loamy,5.6,Humid,"Bone Meal, Bio-Fertilizer"
Sorghum,Clayey,7.8,Temperate,"Potash, DAP"
Watermelon,Silty,7.7,Dry,"Urea, DAP"
Sorghum,Silty,6.9,Tropical,"MOP, Organic Manure"
Tea,Chalky,7.2,Tropical,"Potash, SSP"
Potato,Sandy,6.0,Cool,"Bio-Fertilizer, Organic Manure"
Chili,Silty,5.7,Warm,"Potash, Compost"
Potato,Sandy,7.7,Moderate,"DAP, Compost"
Maize,Peaty,5.0,Wet,"Compost, Urea"
Oats,Chalky,5.4,Wet,"Potash, Bio-Fertilizer"
Banana,Sandy,7.8,Temperate,"Bio-Fertilizer, Phosphorus-based Fertilizer"
Cotton,Saline,6.8,Warm,"Ammonium Sulfate, Phosphorus-based Fertilizer"
Bitter Gourd,Chalky,4.7,Arid,"Bio-Fertilizer, Phosphorus-based Fertilizer"
Mustard,Sandy,7.4,Temperate,"SSP, MOP"
Green Gram,Peaty,6.3,Tropical,"Gypsum, Cow Manure"
Cauliflower,Silty,5.6,Subtropical,"Organic Manure, Gypsum"
Pigeon Pea,Sandy,7.8,Tropical,"Phosphorus-based Fertilizer, Compost"
Papaya,Sandy,7.3,Cool,"NPK 20:20:20, SSP"
Spinach,Saline,6.4,Moderate,"Bone Meal, Bio-Fertilizer"
Rice,Chalky,4.7,Cool,"Bio-Fertilizer, Compost"
Groundnut,Chalky,5.0,Dry,"Potash, Bone Meal"
Sunflower,Peaty,5.6,Warm,"Phosphorus-based Fertilizer, MOP"
Ragi,Chalky,6.8,Tropical,"Cow Manure, NPK 20:20:20"
Pumpkin,Loamy,5.8,Arid,"Phosphorus-based Fertilizer, MOP"
Bitter Gourd,Loamy,6.2,Subtropical,"Urea, Potash"
Ragi,Chalky,6.0,Dry,"MOP, Potash"
Orange,Chalky,5.6,Tropical,"NPK 20:20:20, Bone Meal"
Pulses,Sandy,7.3,Wet,"Potash, Cow Manure"
Lentils,Silty,7.1,Tropical,"Compost, Urea"
Pomegranate,Chalky,6.2,Subtropical,"NPK 20:20:20, MOP"
Tomato,Sandy,6.2,Wet,"Potash, Bone Meal"
Potato,Loamy,6.0,Wet,"SSP, Bone Meal"
Apple,Loamy,6.9,Dry,"Compost, Cow Manure"
Chili,Saline,5.8,Subtropical,"Bone Meal, SSP"
Banana,Peaty,7.7,Dry,"Urea, Potash"
Pulses,Saline,6.4,Temperate,"Phosphorus-based Fertilizer, Bone Meal"
Pulses,Loamy,6.5,Humid,"Potash, MOP"
Cabbage,Silty,5.2,Dry,"Cow Manure, SSP"
Banana,Chalky,5.4,Tropical,"Ammonium Sulfate, Bio-Fertilizer"
Cabbage,Clayey,7.4,Dry,"Gypsum, Bio-Fertilizer"
Papaya,Chalky,6.2,Subtropical,"Compost, MOP"
Pulses,Silty,5.1,Tropical,"DAP, Bio-Fertilizer"
Lychee,Loamy,5.0,Tropical,"Gypsum, Bio-Fertilizer"
Grapes,Chalky,6.9,Tropical,"Cow Manure, Ammonium Sulfate"
Onion,Clayey,7.7,Wet,"Ammonium Sulfate, NPK 20:20:20"
Chili,Peaty,7.3,Tropical,"NPK 20:20:20, Ammonium Sulfate"
Cabbage,Clayey,6.5,Cool,"SSP, Potash"
Ragi,Loamy,5.7,Dry,"Bio-Fertilizer, Bone Meal"
Sorghum,Silty,8.2,Dry,"Ammonium Sulfate, Bio-Fertilizer"
Cotton,Saline,4.7,Temperate,"Compost, NPK 20:20:20"
Barley,Sandy,4.6,Arid,"Ammonium Sulfate, NPK 20:20:20"
Rice,Clayey,5.8,Moderate,"Cow Manure, Compost"
Cotton,Sandy,6.9,Arid,"Urea, Gypsum"
Cashew,Chalky,7.9,Cool,"Bio-Fertilizer, Potash"
Wheat,Silty,4.9,Humid,"DAP, Bio-Fertilizer"
Lemon,Silty,6.6,Moderate,"Bio-Fertilizer, NPK 20:20:20"
Watermelon,Sandy,4.8,Warm,"Ammonium Sulfate, Bone Meal"
Barley,Sandy,6.6,Warm,"Cow Manure, SSP"
Peas,Loamy,5.2,Humid,"Urea, MOP"
Orange,Peaty,7.5,Wet,"Gypsum, Urea"
Mustard,Chalky,8.5,Humid,"Organic Manure, Phosphorus-based Fertilizer"
Lentils,Peaty,4.7,Temperate,"DAP, Organic Manure"
Millet,Clayey,5.7,Wet,"DAP, Ammonium Sulfate"
Cashew,Sandy,7.2,Cool,"Bio-Fertilizer, Cow Manure"
Coconut,Peaty,7.5,Humid,"Bone Meal, DAP"
Cotton,Silty,5.8,Moderate,"Gypsum, SSP"
Potato,Chalky,8.2,Dry,"MOP, Phosphorus-based Fertilizer"
Chili,Clayey,5.9,Subtropical,"Bio-Fertilizer, DAP"
Chili,Saline,6.5,Temperate,"Phosphorus-based Fertilizer, Cow Manure"
Onion,Silty,5.5,Subtropical,"MOP, Cow Manure"
Coconut,Peaty,7.5,Temperate,"Compost, MOP"
Strawberry,Sandy,5.8,Moderate,"DAP, Organic Manure"
Black Gram,Silty,6.7,Arid,"Phosphorus-based Fertilizer, SSP"
Garlic,Chalky,4.7,Tropical,"Bio-Fertilizer, MOP"
Mango,Silty,7.7,Moderate,"Organic Manure, Bone Meal"
Pigeon Pea,Silty,5.6,Warm,"Potash, Ammonium Sulfate"
Pulses,Loamy,4.7,Wet,"Gypsum, Potash"
Lemon,Clayey,5.2,Wet,"NPK 20:20:20, Bio-Fertilizer"
Wheat,Clayey,7.2,Warm,"Phosphorus-based Fertilizer, Organic Manure"
Rice,Loamy,4.7,Warm,"Compost, Organic Manure"
Guava,Silty,6.6,Warm,"Potash, Compost"
Ginger,Saline,6.7,Wet,"Urea, SSP"
Barley,Peaty,7.5,Tropical,"Gypsum, DAP"
Banana,Chalky,5.8,Wet,"Compost, Bone Meal"
Ragi,Peaty,6.4,Tropical,"Compost, Phosphorus-based Fertilizer"
Muskmelon,Saline,8.5,Warm,"Ammonium Sulfate, Compost"
Jute,Sandy,6.1,Cool,"Cow Manure, Potash"
Potato,Sandy,5.8,Subtropical,"DAP, Potash"
Lentils,Loamy,6.6,Wet,"DAP, Organic Manure"
Cabbage,Silty,7.0,Moderate,"NPK 20:20:20, Phosphorus-based Fertilizer"
Millet,Clayey,8.4,Warm,"Bio-Fertilizer, DAP"
Apple,Loamy,8.4,Warm,"Urea, Gypsum"
Spinach,Saline,4.7,Tropical,"NPK 20:20:20, Potash"
Sorghum,Peaty,6.8,Warm,"Urea, Bio-Fertilizer"
Maize,Clayey,7.8,Wet,"SSP, DAP"
Carrot,Loamy,5.5,Arid,"DAP, Bone Meal"
Bitter Gourd,Saline,8.2,Temperate,"MOP, DAP"
Coconut,Peaty,4.5,Subtropical,"MOP, NPK 20:20:20"
Watermelon,Chalky,4.6,Subtropical,"Bone Meal, MOP"
Onion,Loamy,7.5,Subtropical,"Potash, MOP"
Garlic,Chalky,7.1,Humid,"Urea, Bio-Fertilizer"
Pomegranate,Chalky,6.3,Arid,"DAP, Urea"
Papaya,Chalky,6.3,Humid,"Phosphorus-based Fertilizer, Cow Manure"
Onion,Chalky,7.4,Tropical,"Potash, Phosphorus-based Fertilizer"
Cashew,Chalky,5.0,Tropical,"Ammonium Sulfate, DAP"
Bitter Gourd,Saline,6.9,Dry,"Phosphorus-based Fertilizer, MOP"
Watermelon,Chalky,7.3,Humid,"SSP, Ammonium Sulfate"
Barley,Peaty,6.6,Subtropical,"Compost, Cow Manure"
Ragi,Silty,6.1,Moderate,"Phosphorus-based Fertilizer, Bio-Fertilizer"
Groundnut,Loamy,6.2,Warm,"Potash, Cow Manure"
