Crop Name,Soil Type,pH Level,Climate Condition,Recommended Fertilizer
Pigeon Pea,Clayey,6.1,Subtropical,"SSP, Phosphorus-based Fertilizer"
Chili,Saline,6.5,Warm,"Compost, Bone Meal"
Watermelon,Saline,5.6,Tropical,"NPK 20:20:20, DAP"
Sugarcane,Peaty,6.0,Tropical,"Bone Meal, NPK 20:20:20"
Green Gram,Loamy,6.6,Subtropical,"Ammonium Sulfate, SSP"
Sorghum,Silty,7.2,Arid,"Compost, NPK 20:20:20"
Spinach,Chalky,6.6,Dry,"DAP, Potash"
Coffee,Chalky,6.2,Warm,"Potash, Phosphorus-based Fertilizer"
Oats,Clayey,7.8,Dry,"Urea, Phosphorus-based Fertilizer"
Pigeon Pea,Clayey,6.1,Wet,"Potash, DAP"
Pomegranate,Saline,4.9,Wet,"MOP, Phosphorus-based Fertilizer"
Cauliflower,Peaty,6.7,Moderate,"NPK 20:20:20, Organic Manure"
Tobacco,Silty,5.2,Humid,"Potash, Ammonium Sulfate"
Cotton,Silty,5.3,Cool,"Bio-Fertilizer, Urea"
Coffee,Peaty,6.9,Moderate,"Phosphorus-based Fertilizer, Bone Meal"
Bajra,Chalky,7.0,Dry,"Compost, Urea"
Sunflower,Loamy,5.3,Dry,"Compost, Ammonium Sulfate"
Orange,Loamy,5.1,Tropical,"Potash, Bio-Fertilizer"
Banana,Sandy,5.2,Temperate,"SSP, Compost"
Potato,Silty,4.9,Arid,"Organic Manure, SSP"
Orange,Clayey,8.4,Dry,"Cow Manure, Organic Manure"
Tobacco,Peaty,5.7,Humid,"Phosphorus-based Fertilizer, Gypsum"
Mango,Loamy,7.3,Wet,"Cow Manure, Organic Manure"
Rubber,Chalky,5.2,Arid,"Ammonium Sulfate, Organic Manure"
Brinjal,Saline,5.1,Cool,"Phosphorus-based Fertilizer, Compost"
Watermelon,Loamy,5.6,Tropical,"Phosphorus-based Fertilizer, Cow Manure"
Coconut,Clayey,7.1,Humid,"DAP, Cow Manure"
Potato,Chalky,7.3,Cool,"Compost, Phosphorus-based Fertilizer"
Grapes,Silty,8.5,Arid,"NPK 20:20:20, Organic Manure"
Carrot,Saline,5.5,Subtropical,"Bio-Fertilizer, Organic Manure"
Garlic,Silty,4.9,Tropical,"SSP, Bio-Fertilizer"
Carrot,Sandy,6.7,Dry,"NPK 20:20:20, Cow Manure"
Tomato,Saline,6.9,Subtropical,"Gypsum, Urea"
Cotton,Chalky,8.1,Wet,"MOP, DAP"
Black Gram,Sandy,7.1,Subtropical,"Compost, Bio-Fertilizer"
Peas,Silty,6.4,Temperate,"DAP, Ammonium Sulfate"
Tobacco,Silty,5.3,Humid,"Cow Manure, Ammonium Sulfate"
Lemon,Peaty,7.0,Tropical,"Compost, Bone Meal"
Barley,Saline,6.4,Wet,"Phosphorus-based Fertilizer, Urea"
Lemon,Silty,4.8,Warm,"MOP, Compost"
Sorghum,Silty,8.3,Moderate,"Ammonium Sulfate, SSP"
Wheat,Clayey,7.2,Humid,"Cow Manure, Bio-Fertilizer"
Apple,Sandy,5.9,Tropical,"Ammonium Sulfate, DAP"
Wheat,Chalky,5.0,Temperate,"Phosphorus-based Fertilizer, Urea"
Potato,Clayey,7.3,Tropical,"Bio-Fertilizer, Cow Manure"
Papaya,Loamy,7.1,Cool,"Organic Manure, Bone Meal"
Tea,Peaty,5.3,Humid,"Phosphorus-based Fertilizer, SSP"
Lentils,Sandy,6.5,Arid,"NPK 20:20:20, Organic Manure"
Tea,Saline,5.1,Moderate,"DAP, Phosphorus-based Fertilizer"
Sorghum,Chalky,6.1,Subtropical,"Urea, Cow Manure"
Pulses,Peaty,6.9,Wet,"Potash, NPK 20:20:20"
Sorghum,Saline,5.5,Tropical,"Compost, Ammonium Sulfate"
Muskmelon,Sandy,8.2,Temperate,"SSP, Bio-Fertilizer"
Sorghum,Peaty,6.3,Cool,"MOP, Cow Manure"
Tomato,Chalky,5.1,Tropical,"Bone Meal, Phosphorus-based Fertilizer"
Pumpkin,Sandy,6.0,Moderate,"MOP, Cow Manure"
Mustard,Clayey,6.6,Wet,"Ammonium Sulfate, Phosphorus-based Fertilizer"
Bajra,Chalky,4.9,Cool,"Urea, SSP"
Rice,Sandy,6.5,Wet,"Ammonium Sulfate, Cow Manure"
Tomato,Saline,7.9,Warm,"MOP, Cow Manure"
Ragi,Loamy,8.4,Arid,"Compost, MOP"
Soybean,Saline,5.8,Subtropical,"NPK 20:20:20, Organic Manure"
Watermelon,Clayey,6.2,Dry,"Potash, Urea"
Lychee,Sandy,8.0,Humid,"Gypsum, Bone Meal"
Bottle Gourd,Loamy,7.3,Arid,"Phosphorus-based Fertilizer, Organic Manure"
Tea,Sandy,7.4,Wet,"Bone Meal, MOP"
Onion,Saline,4.9,Dry,"SSP, Bone Meal"
Soybean,Peaty,5.4,Temperate,"Bone Meal, Ammonium Sulfate"
Cabbage,Loamy,5.7,Tropical,"NPK 20:20:20, Gypsum"
Tomato,Clayey,6.0,Wet,"Phosphorus-based Fertilizer, Bone Meal"
Cabbage,Sandy,8.0,Arid,"SSP, Compost"
Onion,Chalky,6.7,Warm,"Ammonium Sulfate, SSP"
Coffee,Loamy,5.7,Tropical,"Compost, Urea"
Pumpkin,Saline,6.7,Subtropical,"Organic Manure, DAP"
Barley,Clayey,4.6,Tropical,"Ammonium Sulfate, Cow Manure"
Papaya,Clayey,6.3,Wet,"Cow Manure, DAP"
Pumpkin,Chalky,6.4,Subtropical,"Compost, Cow Manure"
Groundnut,Peaty,8.3,Humid,"Bio-Fertilizer, Compost"
Coffee,Peaty,4.5,Cool,"Urea, MOP"
Brinjal,Loamy,7.2,Arid,"Bio-Fertilizer, MOP"
Grapes,Silty,7.5,Arid,"Ammonium Sulfate, Bone Meal"
Pulses,Saline,4.6,Cool,"DAP, Ammonium Sulfate"
Bajra,Chalky,6.6,Humid,"Gypsum, SSP"
Rubber,Silty,4.7,Moderate,"NPK 20:20:20, Urea"
Garlic,Saline,6.8,Dry,"Urea, Potash"
Cotton,Peaty,5.8,Wet,"Urea, Potash"
Ragi,Peaty,7.2,Temperate,"NPK 20:20:20, Cow Manure"
Black Gram,Chalky,5.7,Temperate,"Gypsum, Bone Meal"
Cotton,Silty,7.9,Cool,"Phosphorus-based Fertilizer, Gypsum"
Rubber,Peaty,5.2,Subtropical,"Urea, Compost"
Chickpeas,Saline,4.9,Dry,"MOP, Potash"
Lentils,Clayey,8.2,Tropical,"Ammonium Sulfate, Bone Meal"
Maize,Saline,6.0,Wet,"Bio-Fertilizer, Urea"
Sorghum,Clayey,4.7,Humid,"NPK 20:20:20, Organic Manure"
Brinjal,Sandy,6.7,Wet,"Potash, Cow Manure"
Green Gram,Clayey,7.7,Moderate,"Organic Manure, Potash"
Coffee,Chalky,4.8,Arid,"MOP, Compost"
Grapes,Chalky,4.9,Dry,"Bone Meal, Potash"
Tobacco,Chalky,6.6,Arid,"Compost, Gypsum"
Sorghum,Loamy,7.2,Dry,"Potash, Urea"
Barley,Loamy,5.6,Warm,"SSP, Gypsum"
Spinach,Clayey,7.8,Subtropical,"Compost, Gypsum"
Potato,Peaty,8.5,Tropical,"SSP, Phosphorus-based Fertilizer"
Papaya,Clayey,5.4,Arid,"MOP, Potash"
Tobacco,Loamy,7.3,Moderate,"Cow Manure, Potash"
Sugarcane,Chalky,6.2,Moderate,"SSP, Bone Meal"
Ragi,Peaty,6.8,Cool,"Gypsum, Urea"
Rice,Clayey,6.8,Arid,"Bio-Fertilizer, MOP"
Cotton,Peaty,5.0,Moderate,"Potash, Bio-Fertilizer"
Sorghum,Loamy,7.5,Cool,"SSP, Organic Manure"
Cauliflower,Chalky,7.3,Tropical,"Phosphorus-based Fertilizer, Bio-Fertilizer"
Garlic,Silty,8.5,Cool,"Gypsum, SSP"
Pomegranate,Chalky,4.6,Tropical,"Bio-Fertilizer, MOP"
Maize,Saline,8.5,Humid,"Organic Manure, Compost"
Cabbage,Loamy,8.3,Moderate,"SSP, Organic Manure"
Turmeric,Chalky,6.2,Moderate,"Urea, DAP"
Garlic,Silty,8.3,Wet,"MOP, Gypsum"
Barley,Clayey,8.4,Wet,"Compost, Cow Manure"
Green Gram,Loamy,8.3,Temperate,"Compost, DAP"
Mango,Clayey,8.2,Tropical,"Potash, Gypsum"
Ragi,Chalky,6.7,Warm,"Bio-Fertilizer, SSP"
Coconut,Loamy,6.1,Temperate,"Phosphorus-based Fertilizer, Organic Manure"
Bottle Gourd,Loamy,7.3,Humid,"Phosphorus-based Fertilizer, NPK 20:20:20"
Cauliflower,Sandy,7.2,Temperate,"Bone Meal, MOP"
Lychee,Chalky,4.6,Tropical,"Bio-Fertilizer, DAP"
Green Gram,Chalky,6.9,Temperate,"Compost, Bio-Fertilizer"
Rubber,Loamy,7.4,Moderate,"Compost, Phosphorus-based Fertilizer"
Cucumber,Loamy,5.9,Subtropical,"Ammonium Sulfate, NPK 20:20:20"
Watermelon,Saline,7.5,Warm,"Bone Meal, DAP"
Ginger,Loamy,8.1,Warm,"Phosphorus-based Fertilizer, Organic Manure"
Banana,Saline,4.9,Cool,"Compost, Urea"
Grapes,Loamy,5.1,Arid,"NPK 20:20:20, Gypsum"
Cotton,Peaty,7.4,Wet,"Cow Manure, Bio-Fertilizer"
Strawberry,Saline,7.2,Moderate,"DAP, Compost"
Cotton,Saline,5.8,Moderate,"Bio-Fertilizer, Urea"
Pigeon Pea,Peaty,5.0,Wet,"Bio-Fertilizer, Organic Manure"
Rice,Saline,5.2,Dry,"Potash, Organic Manure"
Bottle Gourd,Saline,5.1,Wet,"Bone Meal, NPK 20:20:20"
Watermelon,Loamy,7.6,Humid,"Potash, Urea"
Millet,Peaty,5.9,Cool,"Bio-Fertilizer, Organic Manure"
Tea,Clayey,6.5,Warm,"Bone Meal, MOP"
Sunflower,Chalky,5.8,Subtropical,"Phosphorus-based Fertilizer, Organic Manure"
Garlic,Sandy,6.5,Subtropical,"Compost, Bone Meal"
Bajra,Sandy,5.2,Wet,"Cow Manure, Compost"
Banana,Peaty,7.1,Warm,"Urea, Potash"
Green Gram,Chalky,4.7,Dry,"Compost, Bone Meal"
Turmeric,Clayey,7.2,Subtropical,"Compost, NPK 20:20:20"
Ginger,Clayey,7.5,Humid,"Gypsum, Organic Manure"
Guava,Silty,5.5,Dry,"Ammonium Sulfate, SSP"
Muskmelon,Peaty,7.3,Wet,"Bone Meal, Ammonium Sulfate"
Barley,Clayey,6.4,Moderate,"Phosphorus-based Fertilizer, Ammonium Sulfate"
Black Gram,Saline,6.1,Cool,"Potash, Phosphorus-based Fertilizer"
Soybean,Chalky,5.4,Subtropical,"SSP, Bio-Fertilizer"
Sugarcane,Peaty,7.1,Subtropical,"Cow Manure, Phosphorus-based Fertilizer"
Strawberry,Silty,4.5,Dry,"Urea, Potash"
Pomegranate,Saline,5.2,Wet,"Cow Manure, Potash"
Coffee,Clayey,7.8,Dry,"Organic Manure, Compost"
Black Gram,Peaty,6.5,Humid,"Potash, Bone Meal"
Ragi,Silty,6.8,Subtropical,"Phosphorus-based Fertilizer, Urea"
Tea,Clayey,6.7,Wet,"Cow Manure, Potash"
Sorghum,Saline,8.4,Dry,"Urea, SSP"
Lychee,Saline,8.0,Tropical,"Bio-Fertilizer, Potash"
Peas,Loamy,4.8,Dry,"Potash, Bone Meal"
Cotton,Chalky,5.8,Dry,"MOP, Bio-Fertilizer"
Coconut,Sandy,5.4,Wet,"Compost, Cow Manure"
Grapes,Silty,7.9,Arid,"Potash, Compost"
Pulses,Loamy,5.8,Moderate,"Bio-Fertilizer, Bone Meal"
Pulses,Clayey,7.9,Wet,"Organic Manure, DAP"
Soybean,Sandy,6.8,Humid,"DAP, Potash"
Barley,Clayey,5.8,Warm,"DAP, Gypsum"
Sorghum,Chalky,7.1,Warm,"NPK 20:20:20, Urea"
Turmeric,Saline,7.6,Wet,"Bio-Fertilizer, Organic Manure"
Potato,Loamy,6.4,Arid,"Ammonium Sulfate, Organic Manure"
Tomato,Saline,8.4,Temperate,"DAP, Cow Manure"
Banana,Loamy,4.9,Humid,"Potash, NPK 20:20:20"
Lentils,Loamy,7.6,Warm,"NPK 20:20:20, Ammonium Sulfate"
Tea,Loamy,6.4,Subtropical,"Bone Meal, SSP"
Barley,Clayey,5.8,Arid,"NPK 20:20:20, Phosphorus-based Fertilizer"
Rice,Silty,8.0,Arid,"Potash, MOP"
Black Gram,Peaty,4.7,Dry,"Gypsum, Cow Manure"
Chickpeas,Clayey,6.3,Cool,"Gypsum, DAP"
Strawberry,Peaty,7.3,Moderate,"Bio-Fertilizer, Compost"
Grapes,Sandy,5.4,Temperate,"Bio-Fertilizer, Ammonium Sulfate"
Orange,Peaty,5.3,Temperate,"Organic Manure, Urea"
Barley,Silty,7.5,Temperate,"SSP, Bone Meal"
Black Gram,Chalky,6.1,Temperate,"Bone Meal, Urea"
Bottle Gourd,Chalky,7.8,Tropical,"Gypsum, Bone Meal"
Black Gram,Loamy,6.3,Humid,"Bone Meal, Organic Manure"
Mustard,Loamy,7.9,Moderate,"MOP, Cow Manure"
Chili,Saline,6.1,Temperate,"SSP, Bone Meal"
Turmeric,Loamy,7.7,Wet,"SSP, Ammonium Sulfate"
Tobacco,Sandy,5.5,Humid,"Compost, MOP"
Soybean,Silty,8.1,Temperate,"Gypsum, Cow Manure"
Coffee,Saline,8.5,Cool,"Urea, Bio-Fertilizer"
Pumpkin,Saline,5.0,Arid,"Organic Manure, Bio-Fertilizer"
Pumpkin,Sandy,5.3,Moderate,"DAP, Bone Meal"
Oats,Silty,5.5,Subtropical,"SSP, NPK 20:20:20"
Green Gram,Clayey,5.5,Dry,"SSP, DAP"
Muskmelon,Sandy,8.0,Tropical,"SSP, Gypsum"
Tobacco,Loamy,6.5,Subtropical,"Cow Manure, Organic Manure"
Bajra,Chalky,6.0,Subtropical,"Phosphorus-based Fertilizer, NPK 20:20:20"
Potato,Sandy,5.4,Temperate,"NPK 20:20:20, Organic Manure"
Rubber,Peaty,6.8,Moderate,"Potash, Ammonium Sulfate"
Barley,Peaty,6.6,Tropical,"DAP, Bio-Fertilizer"
Lentils,Loamy,6.5,Tropical,"DAP, SSP"
Pigeon Pea,Loamy,5.2,Wet,"DAP, Bio-Fertilizer"
Soybean,Peaty,4.7,Tropical,"SSP, Organic Manure"
Turmeric,Chalky,7.4,Moderate,"Organic Manure, Ammonium Sulfate"
Rice,Chalky,5.8,Tropical,"Bio-Fertilizer, Organic Manure"
Potato,Chalky,4.8,Dry,"Organic Manure, DAP"
Maize,Loamy,8.2,Humid,"Phosphorus-based Fertilizer, Organic Manure"
Oats,Clayey,6.7,Dry,"SSP, DAP"
Rubber,Chalky,7.4,Moderate,"NPK 20:20:20, Urea"
Watermelon,Saline,7.1,Subtropical,"Phosphorus-based Fertilizer, Organic Manure"
Guava,Sandy,8.2,Arid,"Phosphorus-based Fertilizer, DAP"
Bitter Gourd,Silty,5.9,Subtropical,"SSP, Cow Manure"
Maize,Loamy,5.1,Wet,"NPK 20:20:20, Compost"
Bottle Gourd,Clayey,4.6,Warm,"Ammonium Sulfate, Gypsum"
Chili,Silty,8.0,Humid,"Compost, Organic Manure"
Tomato,Peaty,7.3,Wet,"Urea, DAP"
Tomato,Loamy,4.7,Cool,"Organic Manure, Gypsum"
Cucumber,Clayey,7.2,Subtropical,"Gypsum, Compost"
Pigeon Pea,Loamy,5.3,Humid,"Ammonium Sulfate, Potash"
Millet,Silty,6.9,Tropical,"DAP, Bio-Fertilizer"
Cabbage,Peaty,4.5,Temperate,"Potash, Cow Manure"
Apple,Clayey,6.9,Wet,"Cow Manure, Ammonium Sulfate"
Wheat,Silty,5.2,Warm,"Potash, Bone Meal"
Sugarcane,Saline,7.3,Subtropical,"Organic Manure, Bio-Fertilizer"
Sugarcane,Silty,7.2,Tropical,"Bone Meal, Ammonium Sulfate"
Brinjal,Silty,7.6,Moderate,"Compost, Organic Manure"
Mango,Silty,7.9,Cool,"DAP, Bone Meal"
Cashew,Chalky,5.6,Tropical,"DAP, Cow Manure"
Bajra,Clayey,6.8,Temperate,"SSP, MOP"
Strawberry,Peaty,6.6,Dry,"Bone Meal, SSP"
Potato,Loamy,7.0,Wet,"Bio-Fertilizer, Urea"
Onion,Chalky,7.5,Warm,"Bio-Fertilizer, Cow Manure"
Cucumber,Sandy,6.4,Temperate,"Phosphorus-based Fertilizer, MOP"
Jute,Saline,7.5,Tropical,"Cow Manure, DAP"
Chickpeas,Clayey,5.7,Arid,"Potash, Bio-Fertilizer"
Watermelon,Loamy,4.6,Dry,"Potash, NPK 20:20:20"
Brinjal,Chalky,5.2,Tropical,"Gypsum, Compost"
Millet,Sandy,7.3,Subtropical,"Potash, Phosphorus-based Fertilizer"
Lychee,Silty,7.3,Humid,"Urea, MOP"
Green Gram,Clayey,8.3,Dry,"Potash, Cow Manure"
Guava,Chalky,8.2,Wet,"Bio-Fertilizer, Cow Manure"
Watermelon,Peaty,4.6,Warm,"SSP, Organic Manure"
Onion,Silty,5.3,Humid,"DAP, Phosphorus-based Fertilizer"
Bottle Gourd,Clayey,8.3,Temperate,"Gypsum, NPK 20:20:20"
Pomegranate,Clayey,7.1,Tropical,"MOP, Bio-Fertilizer"
Cabbage,Saline,4.6,Cool,"NPK 20:20:20, Phosphorus-based Fertilizer"
Cucumber,Clayey,6.4,Subtropical,"Urea, Compost"
Millet,Clayey,6.5,Arid,"Gypsum, SSP"
Turmeric,Peaty,7.0,Warm,"Gypsum, NPK 20:20:20"
Garlic,Clayey,7.9,Arid,"Bone Meal, Gypsum"
Black Gram,Clayey,5.8,Wet,"Bone Meal, Potash"
Peas,Loamy,8.2,Dry,"Potash, Cow Manure"
Coffee,Saline,4.8,Temperate,"Cow Manure, Phosphorus-based Fertilizer"
Onion,Clayey,6.3,Wet,"Urea, Phosphorus-based Fertilizer"
Potato,Saline,7.6,Temperate,"Cow Manure, DAP"
Turmeric,Saline,5.0,Moderate,"Bio-Fertilizer, Bone Meal"
Tea,Saline,5.2,Wet,"DAP, Compost"
Watermelon,Clayey,5.9,Moderate,"NPK 20:20:20, Potash"
Strawberry,Peaty,5.3,Moderate,"Organic Manure, Urea"
Barley,Peaty,6.0,Wet,"Bio-Fertilizer, DAP"
Ginger,Silty,6.2,Moderate,"Urea, Potash"
Peas,Peaty,8.4,Dry,"MOP, SSP"
Watermelon,Loamy,8.1,Wet,"DAP, Gypsum"
Groundnut,Chalky,6.3,Subtropical,"Cow Manure, MOP"
Chili,Loamy,8.3,Cool,"DAP, Cow Manure"
Cucumber,Silty,4.8,Dry,"Bio-Fertilizer, Gypsum"
Cashew,Loamy,7.4,Humid,"Bone Meal, Compost"
Maize,Peaty,6.0,Moderate,"Cow Manure, Compost"
Bottle Gourd,Loamy,8.4,Temperate,"Bone Meal, Gypsum"
Guava,Silty,6.1,Subtropical,"Bio-Fertilizer, Organic Manure"
Tomato,Clayey,6.0,Arid,"Urea, Ammonium Sulfate"
Coconut,Silty,6.6,Moderate,"Urea, Bio-Fertilizer"
Banana,Silty,8.0,Arid,"Organic Manure, NPK 20:20:20"
Cotton,Peaty,8.0,Moderate,"Compost, Bio-Fertilizer"
Carrot,Silty,7.2,Arid,"Organic Manure, SSP"
Barley,Clayey,7.0,Temperate,"Bio-Fertilizer, SSP"
Peas,Clayey,6.1,Cool,"MOP, NPK 20:20:20"
Cauliflower,Sandy,8.4,Dry,"Bio-Fertilizer, MOP"
Tomato,Clayey,4.8,Temperate,"MOP, Cow Manure"
Bitter Gourd,Saline,5.4,Dry,"Phosphorus-based Fertilizer, Cow Manure"
Onion,Saline,8.1,Warm,"MOP, Gypsum"
Coffee,Clayey,6.7,Wet,"SSP, Potash"
Spinach,Loamy,7.9,Subtropical,"Gypsum, Bio-Fertilizer"
Rice,Saline,7.0,Humid,"DAP, MOP"
Mango,Saline,5.3,Dry,"Compost, Potash"
Maize,Loamy,7.4,Wet,"Bone Meal, Organic Manure"
Strawberry,Clayey,7.7,Temperate,"Phosphorus-based Fertilizer, Compost"
Coffee,Clayey,6.3,Temperate,"Compost, MOP"
Grapes,Peaty,5.7,Warm,"NPK 20:20:20, SSP"
Cabbage,Sandy,8.2,Subtropical,"Organic Manure, NPK 20:20:20"
Pulses,Saline,7.1,Subtropical,"SSP, Organic Manure"
Bottle Gourd,Sandy,7.1,Cool,"Phosphorus-based Fertilizer, Bio-Fertilizer"
Pulses,Silty,5.7,Subtropical,"MOP, Gypsum"
Coconut,Sandy,7.8,Tropical,"Potash, Phosphorus-based Fertilizer"
Green Gram,Loamy,8.4,Tropical,"Ammonium Sulfate, Cow Manure"
Bitter Gourd,Sandy,5.1,Warm,"Cow Manure, Phosphorus-based Fertilizer"
Sunflower,Sandy,5.3,Subtropical,"Phosphorus-based Fertilizer, Organic Manure"
Bottle Gourd,Saline,6.0,Dry,"Potash, Cow Manure"
Mango,Peaty,5.7,Tropical,"Organic Manure, Potash"
Onion,Saline,5.2,Tropical,"SSP, Phosphorus-based Fertilizer"
Watermelon,Saline,8.2,Cool,"Bone Meal, Urea"
Guava,Clayey,7.2,Tropical,"Organic Manure, Bio-Fertilizer"
Mango,Silty,6.5,Warm,"NPK 20:20:20, Organic Manure"
Watermelon,Saline,7.4,Humid,"Bio-Fertilizer, Cow Manure"
Cashew,Chalky,6.7,Moderate,"Phosphorus-based Fertilizer, Gypsum"
Chili,Silty,5.0,Warm,"Phosphorus-based Fertilizer, Cow Manure"
Pulses,Clayey,4.6,Moderate,"Bio-Fertilizer, Gypsum"
Oats,Peaty,5.1,Temperate,"Organic Manure, Urea"
Jute,Chalky,5.5,Dry,"Urea, SSP"
Grapes,Saline,7.3,Humid,"DAP, Urea"
Tea,Peaty,6.9,Humid,"DAP, Urea"
Grapes,Clayey,8.1,Dry,"Cow Manure, Bio-Fertilizer"
Turmeric,Sandy,7.1,Warm,"SSP, NPK 20:20:20"
Grapes,Silty,8.2,Humid,"Bone Meal, Organic Manure"
Barley,Chalky,7.4,Subtropical,"DAP, Ammonium Sulfate"
Black Gram,Clayey,7.7,Humid,"Gypsum, Bio-Fertilizer"
Bottle Gourd,Silty,5.4,Temperate,"Gypsum, SSP"
Lentils,Clayey,7.7,Subtropical,"Organic Manure, Phosphorus-based Fertilizer"
Chickpeas,Clayey,6.3,Warm,"Bone Meal, SSP"
Wheat,Silty,5.6,Tropical,"Compost, Organic Manure"
Strawberry,Silty,5.3,Temperate,"Compost, NPK 20:20:20"
Pineapple,Loamy,4.9,Moderate,"SSP, Bio-Fertilizer"
Cabbage,Chalky,6.2,Tropical,"DAP, Ammonium Sulfate"
Soybean,Silty,6.8,Temperate,"Phosphorus-based Fertilizer, Bone Meal"
Soybean,Sandy,8.3,Temperate,"Gypsum, Organic Manure"
Garlic,Saline,6.6,Dry,"Bio-Fertilizer, Phosphorus-based Fertilizer"
